extractor,model,epochs,batch_size,normalization,num_layers,hidden_dim,bidirectional,dropout,lr,train_loss,accuracy,f1_macro,best_f1_score,best_epoch
gaitgl_GREW.csv,LSTM,150,64,minmax,2,128,True,0.1,0.001,0.00514,0.36782,0.30038,0.35735,103.0
gaitgl_GREW_BNNeck.csv,LSTM,137,64,minmax,2,128,True,0.1,0.001,1.00921,0.48276,0.21705,0.21705,51.0
gaitgl_OUMVLP.csv,LSTM,295,64,minmax,2,128,True,0.1,0.001,0.06654,0.31034,0.24585,0.33858,152.0
gaitpart.csv,LSTM,165,64,minmax,2,128,True,0.1,0.001,0.75309,0.45455,0.20833,0.44444,133.0
gaitpart_GREW.csv,LSTM,342,64,minmax,2,128,True,0.1,0.001,0.00509,0.3908,0.29347,0.39498,275.0
gaitpart_OUMVLP.csv,LSTM,355,64,minmax,2,128,True,0.1,0.001,0.58686,0.42529,0.36815,0.41359,242.0
gaitset.csv,LSTM,324,64,minmax,2,128,True,0.1,0.001,0.00673,0.4023,0.32799,0.45988,161.0
gaitset_GREW.csv,LSTM,265,64,minmax,2,128,True,0.1,0.001,0.2779,0.43678,0.37648,0.3974,218.0
gaitset_OUMVLP.csv,LSTM,268,64,minmax,2,128,True,0.1,0.001,0.68392,0.45977,0.40261,0.47224,188.0
gln_phase1.csv,LSTM,297,64,minmax,2,128,True,0.1,0.001,0.1647,0.49425,0.46076,0.50556,281.0
gln_phase2.csv,LSTM,345,64,minmax,2,128,True,0.1,0.001,0.04193,0.45977,0.41359,0.4619,236.0

baseline_CASIAB.csv,LSTM,339,64,L2,1,64,False,0.4,0.001,0.00238,0.49425,0.4036,0.48382,232.0
baseline_OUMVLP.csv,LSTM,422,64,L2,1,64,False,0.4,0.001,0.00363,0.47126,0.37037,0.43617,398.0
gaitgl.csv,LSTM,238,64,L2,1,64,False,0.4,0.001,0.00305,0.45977,0.40483,0.49248,130.0
gaitgl_GREW.csv,LSTM,198,64,L2,1,64,False,0.4,0.001,0.00565,0.47126,0.41384,0.43245,182.0
gaitgl_GREW_BNNeck.csv,LSTM,328,64,L2,1,64,False,0.4,0.001,0.00453,0.37931,0.30913,0.41064,325.0
gaitgl_OUMVLP.csv,LSTM,500,64,L2,1,64,False,0.4,0.001,0.0164,0.41379,0.39124,0.44308,115.0
gaitpart.csv,LSTM,497,64,L2,1,64,False,0.4,0.001,0.17534,0.45455,0.30037,0.44689,176.0
gaitpart_GREW.csv,LSTM,538,64,L2,1,64,False,0.4,0.001,0.00027,0.49425,0.45515,0.53225,248.0
gaitpart_OUMVLP.csv,LSTM,412,64,L2,1,64,False,0.4,0.001,1.00829,0.48276,0.32332,0.45943,328.0
gaitset.csv,LSTM,462,64,L2,1,64,False,0.4,0.001,0.04799,0.35632,0.29447,0.40039,88.0
gaitset_GREW.csv,LSTM,351,64,L2,1,64,False,0.4,0.001,3e-05,0.45977,0.37042,0.47974,121.0
gaitset_OUMVLP.csv,LSTM,470,64,L2,1,64,False,0.4,0.001,0.1497,0.49425,0.44049,0.48227,343.0
gln_phase1.csv,LSTM,440,64,L2,1,64,False,0.4,0.001,0.00113,0.49425,0.43615,0.46874,359.0
gln_phase2.csv,LSTM,377,64,L2,1,64,False,0.4,0.001,0.01404,0.45977,0.39256,0.46287,72.0

baseline_CASIAB.csv,LSTM,547,64,minmax,1,256,True,0.2,0.001,0.03149,0.51724,0.46943,0.55068,514.0
baseline_OUMVLP.csv,LSTM,451,64,minmax,1,256,True,0.2,0.001,0.00417,0.45977,0.42149,0.47418,295.0
gaitgl.csv,LSTM,202,64,minmax,1,256,True,0.2,0.001,0.0279,0.4023,0.33284,0.42199,76.0
gaitgl_GREW.csv,LSTM,191,64,minmax,1,256,True,0.2,0.001,3e-05,0.3908,0.32461,0.40413,54.0
gaitgl_GREW_BNNeck.csv,LSTM,866,64,minmax,1,256,True,0.2,0.001,0.01587,0.35632,0.29706,0.47972,353.0
gaitgl_OUMVLP.csv,LSTM,508,64,minmax,1,256,True,0.2,0.001,0.00097,0.29885,0.25789,0.35183,172.0
gaitpart.csv,LSTM,411,64,minmax,1,256,True,0.2,0.001,7e-05,0.54545,0.38182,0.57407,173.0
gaitpart_GREW.csv,LSTM,423,64,minmax,1,256,True,0.2,0.001,0.01491,0.37931,0.32179,0.39245,152.0
gaitpart_OUMVLP.csv,LSTM,501,64,minmax,1,256,True,0.2,0.001,0.52143,0.44828,0.38148,0.43028,441.0
gaitset.csv,LSTM,546,64,minmax,1,256,True,0.2,0.001,0.01704,0.35632,0.30537,0.42804,213.0
gaitset_GREW.csv,LSTM,454,64,minmax,1,256,True,0.2,0.001,0.0096,0.4023,0.34234,0.41905,66.0
gaitset_OUMVLP.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.03334,0.52874,0.47711,0.53738,828.0
gln_phase1.csv,LSTM,364,64,minmax,1,256,True,0.2,0.001,0.00904,0.51724,0.45563,0.48902,168.0
gln_phase2.csv,LSTM,526,64,minmax,1,256,True,0.2,0.001,0.01163,0.3908,0.34189,0.53947,181.0

baseline_CASIAB.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.00231,0.47126,0.40262,0.47574,680.0
baseline_OUMVLP.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.09262,0.49425,0.36804,0.45561,1387.0
gaitgl.csv,LSTM,1083,128,L2,1,128,True,0.2,0.0001,0.00096,0.42529,0.34086,0.44605,1046.0
gaitgl_GREW.csv,LSTM,1228,128,L2,1,128,True,0.2,0.0001,0.00026,0.33333,0.28788,0.44772,408.0
gaitgl_GREW_BNNeck.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.20409,0.56322,0.48916,0.54588,1069.0
gaitgl_OUMVLP.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.30615,0.43678,0.41169,0.46002,1086.0
gaitpart.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.00049,0.45455,0.30037,0.52778,820.0
gaitpart_GREW.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.23224,0.37931,0.36331,0.40649,1295.0
gaitpart_OUMVLP.csv,LSTM,1500,128.0,L2,1,128,True,0.2,0.0001,0.61043,0.50575,0.35855,0.42339,1069.0
gaitset.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.01897,0.43678,0.36968,0.45828,1271.0
gaitset_GREW.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.20881,0.42529,0.36106,0.40079,1483.0
gaitset_OUMVLP.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.76644,0.45977,0.32821,0.42005,1484.0
gln_phase1.csv,LSTM,1172,128,L2,1,128,True,0.2,0.0001,0.00788,0.55172,0.43959,0.51178,531.0
gln_phase2.csv,LSTM,1500,128,L2,1,128,True,0.2,0.0001,0.13945,0.35632,0.30862,0.48628,533.0

baseline_CASIAB.csv,LSTM,351,64,L2,3,128,True,0.2,0.001,1e-05,0.44828,0.41387,0.46281,175
baseline_OUMVLP.csv,LSTM,351,64,L2,3,128,True,0.2,0.001,3e-05,0.48276,0.36405,0.47016,208
gaitgl.csv,LSTM,351,64,L2,3,128,True,0.2,0.001,0.0,0.49425,0.37405,0.40908,139
gaitgl_GREW.csv,LSTM,351,64,L2,3,128,True,0.2,0.001,0.0,0.48276,0.33957,0.36815,126
gaitgl_GREW_BNNeck.csv,LSTM,351,64,L2,3,128,True,0.2,0.001,1e-05,0.42529,0.33128,0.37764,131
gaitgl_OUMVLP.csv,LSTM,403,64,L2,3,128,True,0.2,0.001,1e-05,0.47126,0.37985,0.42204,248
gaitpart.csv,LSTM,367,64,L2,3,128,True,0.2,0.001,3e-05,0.45455,0.31481,0.40404,142
gaitpart_GREW.csv,LSTM,376,64,L2,3,128,True,0.2,0.001,0.0,0.3908,0.36425,0.42765,175
gaitpart_OUMVLP.csv,LSTM,633,64,L2,3,128,True,0.2,0.001,0.00092,0.49425,0.35987,0.49535,206
gaitset.csv,LSTM,462,64,L2,3,128,True,0.2,0.001,2e-05,0.3908,0.30423,0.41809,370
gaitset_GREW.csv,LSTM,351,64,L2,3,128,True,0.2,0.001,1e-05,0.41379,0.33627,0.42033,209
gaitset_OUMVLP.csv,LSTM,625,64,L2,3,128,True,0.2,0.001,0.00386,0.49425,0.39178,0.4547,151
gln_phase1.csv,LSTM,351,64,L2,3,128,True,0.2,0.001,0.0,0.44828,0.38416,0.4679,129
gln_phase2.csv,LSTM,351,64,L2,3,128,True,0.2,0.001,0.0,0.50575,0.44691,0.49185,151

baseline_CASIAB.csv,LSTM,265,64,L2,1,64,True,0.2,0.001,0.00219,0.47126,0.39937,0.44032,123
baseline_OUMVLP.csv,LSTM,385,64,L2,1,64,True,0.2,0.001,0.00555,0.41379,0.37298,0.45622,192
gaitgl.csv,LSTM,260,64,L2,1,64,True,0.2,0.001,5e-05,0.51724,0.41617,0.44987,212
gaitgl_GREW.csv,LSTM,251,64,L2,1,64,True,0.2,0.001,6e-05,0.4023,0.32345,0.41141,211
gaitgl_GREW_BNNeck.csv,LSTM,270,64,L2,1,64,True,0.2,0.001,0.00305,0.37931,0.31107,0.36378,249
gaitgl_OUMVLP.csv,LSTM,299,64,L2,1,64,True,0.2,0.001,3e-05,0.43678,0.35602,0.42139,241
gaitpart.csv,LSTM,460,64,L2,1,64,True,0.2,0.001,0.00015,0.36364,0.26936,0.46032,425
gaitpart_GREW.csv,LSTM,251,64,L2,1,64,True,0.2,0.001,0.00101,0.44828,0.33632,0.37965,203
gaitpart_OUMVLP.csv,LSTM,451,64,L2,1,64,True,0.2,0.001,0.00268,0.50575,0.45775,0.50641,146
gaitset.csv,LSTM,328,64,L2,1,64,True,0.2,0.001,5e-05,0.49425,0.36508,0.45916,196
gaitset_GREW.csv,LSTM,251,64,L2,1,64,True,0.2,0.001,8e-05,0.49425,0.39128,0.44397,156
gaitset_OUMVLP.csv,LSTM,499,64,L2,1,64,True,0.2,0.001,0.00886,0.36782,0.28439,0.38038,195
gln_phase1.csv,LSTM,251,64,L2,1,64,True,0.2,0.001,2e-05,0.45977,0.40879,0.42728,240
gln_phase2.csv,LSTM,259,64,L2,1,64,True,0.2,0.001,0.00015,0.42529,0.35651,0.46677,212

baseline_CASIAB.csv,LSTM,463,64,minmax,2,128,True,0.1,0.001,0.00454,0.41379,0.32777,0.4238,175
baseline_OUMVLP.csv,LSTM,494,64,minmax,2,128,True,0.1,0.001,0.00473,0.47126,0.39899,0.5173,250
gaitgl.csv,LSTM,359,64,minmax,2,128,True,0.1,0.001,2e-05,0.47126,0.37807,0.45245,214
gaitgl_GREW.csv,LSTM,251,64,minmax,2,128,True,0.1,0.001,2e-05,0.44828,0.36149,0.38697,172
gaitgl_GREW_BNNeck.csv,LSTM,702,64,minmax,2,128,True,0.1,0.001,0.00986,0.47126,0.43989,0.4794,678
gaitgl_OUMVLP.csv,LSTM,616,64,minmax,2,128,True,0.1,0.001,0.00404,0.31034,0.2268,0.33862,131
gaitpart.csv,LSTM,628,64,minmax,2,128,True,0.1,0.001,0.00073,0.54545,0.3956,0.50909,405
gaitpart_GREW.csv,LSTM,367,64,minmax,2,128,True,0.1,0.001,0.00049,0.41379,0.38519,0.41623,338
gaitpart_OUMVLP.csv,LSTM,1002,64,minmax,2,128,True,0.1,0.001,0.00092,0.47126,0.38788,0.45751,816
gaitset.csv,LSTM,353,64,minmax,2,128,True,0.1,0.001,0.0044,0.42529,0.34778,0.41924,125
gaitset_GREW.csv,LSTM,414,64,minmax,2,128,True,0.1,0.001,0.00767,0.45977,0.36552,0.44149,295
gaitset_OUMVLP.csv,LSTM,985,64,minmax,2,128,True,0.1,0.001,0.00828,0.42529,0.37212,0.45504,193
gln_phase1.csv,LSTM,399,64,minmax,2,128,True,0.1,0.001,0.00774,0.41379,0.34038,0.42945,284
gln_phase2.csv,LSTM,538,64,minmax,2,128,True,0.1,0.001,0.00416,0.45977,0.35271,0.49153,187

baseline_CASIAB.csv,LSTM,101,32,L2,1,512,True,0.0,0.001,2e-05,0.52874,0.43339,0.49928,75
baseline_OUMVLP.csv,LSTM,146,32,L2,1,512,True,0.0,0.001,0.00032,0.49425,0.41575,0.50135,110
gaitgl.csv,LSTM,101,32,L2,1,512,True,0.0,0.001,2e-05,0.48276,0.42051,0.44498,55
gaitgl_GREW.csv,LSTM,101,32,L2,1,512,True,0.0,0.001,1e-05,0.44828,0.37735,0.37735,93
gaitgl_GREW_BNNeck.csv,LSTM,101,32,L2,1,512,True,0.0,0.001,3e-05,0.34483,0.262,0.39882,74
gaitgl_OUMVLP.csv,LSTM,101,32,L2,1,512,True,0.0,0.001,2e-05,0.44828,0.32868,0.38914,54
gaitpart.csv,LSTM,199,32,L2,1,512,True,0.0,0.001,0.00046,0.45455,0.31515,0.42857,129
gaitpart_GREW.csv,LSTM,101,32,L2,1,512,True,0.0,0.001,2e-05,0.41379,0.33835,0.43018,54
gaitpart_OUMVLP.csv,LSTM,191,32,L2,1,512,True,0.0,0.001,0.00099,0.52874,0.46565,0.50698,173
gaitset.csv,LSTM,101,32,L2,1,512,True,0.0,0.001,0.00058,0.47126,0.38659,0.43732,87
gaitset_GREW.csv,LSTM,108,32,L2,1,512,True,0.0,0.001,0.00014,0.49425,0.41527,0.42804,94
gaitset_OUMVLP.csv,LSTM,165,32,L2,1,512,True,0.0,0.001,0.00094,0.41379,0.31389,0.39033,61
gln_phase1.csv,LSTM,101,32,L2,1,512,True,0.0,0.001,2e-05,0.45977,0.38764,0.43928,67
gln_phase2.csv,LSTM,101,32,L2,1,512,True,0.0,0.001,0.00012,0.43678,0.36949,0.4272,54
